key,name,moment,subject,text,score,recommended
review-01,John,2020/09/01 10:00,Great Service,"The service was excellent, fast and friendly.",4.5,true
review-02,Karen,2020/09/02 10:00,Poor Service,"The service was slow and unprofessional.",0.0,false
review-03,<script>alert('Hacked!');</script>,2000/01/01 0:00,Injection Test,"This is a test for script injection.",5.0,true
review-04,张伟 (Zhang Wei),2013/10/02 14:00,Excellent Experience,"服务非常好，非常专业！",5.0,true
review-05,<marquee>Hacked Review</marquee>,2013/10/03 16:00,HTML Test,"This is a test for HTML tags.",3.0,false
review-06,محمد علي (Mohammed Ali),2013/10/04 18:00,G,"رحلة رائعة، طاقم العمل ودود للغاية.",4.0,true
review-07,<b>Bold Review</b>,2013/10/05 20:00,Format Test,d,2.5,true
review-08,สมชาย ใจดี (Somchai Jaidee),2013/10/06 22:00,Amazing Service,"บริการดีมาก，ฉันประทับใจมาก!",4.5,true
review-09,<img src=x onerror=alert('XSS')>,2013/10/07 09:00,XSS Test,"This is a test for XSS vulnerability.",1.5,false
review-10,罗俊 (Luo Jun),2013/10/08 11:00,Comfortable Flight,"飞行非常舒适，服务周到。",4.0,true
review-11,Heathrow Heathrow AirportHeathrowwHeathrow Airport,2013/10/09 13:00,Delayed Flight,"تأخرت الرحلة، ولكن الخدمة كانت جيدة.",3.0,false
review-12,ไกรทอง (Kraitong),2013/10/10 15:00,Good Experience,"ประสบการณ์ที่ดี，ฉันจะกลับมาอีกครั้ง!",4.0,true
review-13,<iframe src='malicious-site.com'></iframe>,2013/10/11 17:00,IFrame Test,"This is a test for iframe injection.",0.5,false
review-14,张婷 (Zhang Ting),2013/10/12 19:00,Friendly Staff,"工作人员非常友好，服务很棒。",4.5,true
review-15,R,2013/10/13 21:00,Heathrow Heathrow AirportHeathrowwHeathrow Airport,Heathrow Heathrow AirportHeathrowwHeathrow Airport,3.0,true
review-16,شادي فهد (Shadi Fahd),2013/10/14 23:00,Excellent Food,"الطعام كان ممتازًا، والخدمة جيدة.",4.0,
review-17,ลัดดาวัลย์ (Laddawan),2013/10/15 08:00,Comfortable Seats,"ที่นั่งสบายมาก，ฉันนอนหลับได้ดี!",10.0,true
review-18,<a href='malicious-site.com'>Click Me</a>,2013/10/16 10:00,Link Test,Heathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrowww,,
review-19,<h1>Hacked Review</h1>,2013/10/17 12:00,Header Test,"This is a test for header tags.",,
review-20,'' or 'A' = 'A ,2025/01/01 0:00,Great Experience,"서비스가 훌륭했습니다，다시 이용할 것입니다!",,true
