key,type,description,priority,estimatedDuration,key:technician,draftMode
task-01,MAINTENANCE,"Routine engine check for aircraft.",5,120,technician-01,true
task-02,INSPECTION,"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",7,90,technician-01,true
task-03,REPAIR,"Electrical system diagnostics and repair.",8,180,technician-01,true
task-04,INSPECTION,"Inspection and maintenance of the fuel system.",6,150,technician-01,true
task-05,SYSTEM_CHECK,"Upgrade of avionics system with new software.",9,240,technician-01,true
task-06,INSPECTION,"Structural inspection of wings and fuselage.",4,100,technician-01,true
task-07,REPAIR,"Complete engine replacement for aircraft.",10,300,technician-01,true
task-08,SYSTEM_CHECK,"Full system diagnostics for the aircraft.",7,1,technician-01,true
task-09,MAINTENANCE,"Scheduled maintenance for various systems.",0,1000,technician-01,true
task-10,INSPECTION,"A",5,90,technician-01,true
