key,key:userAccount,codigo,spokenLanguages,moment,bio,salary,photo,key:airline
agent-01,user-account-agent-01,LA123456,"English, Spanish",2005/09/01 10:00,"Experienced assistance agent with 5 years of experience.",50000.00 USD,"https://example.com/photo1.jpg",airline-01
agent-02,user-account-agent-02,LA987654,d,2010/09/01 10:00,"New assistance agent with strong communication skills.",45000.00 USD,"https://example.com/photo2.jpg",airline-02
agent-03,user-account-agent-01,LA987652,<marquee>Hacked</marquee>,2015/10/01 12:00,"Agent with scripting skills. 代理具有脚本编写技能。",60000.00 USD,"https://example.com/photo3.jpg",airline-03
agent-04,user-account-agent-01,LA456789,Heathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrow AirportHeathrowww,2008/10/02 14:00,"Multilingual agent with 10 years of experience. Agente multilingüe con 10 años de experiencia.",55000.00 USD,,airline-04
agent-05,user-account-agent-01,LA987654,"English, French",2012/10/03 16:00,"Agent with HTML knowledge. Agent avec des connaissances en HTML.",,,airline-05
agent-06,user-account-agent-01,LA789012,"Arabic, English",2018/10/04 18:00,"Agent specializing in Middle Eastern markets. وكيل متخصص في أسواق الشرق الأوسط.",52000.00 USD,"https://example.com/photo6.jpg",airline-06
agent-07,user-account-agent-01,LA987651,"German, Spanish",2007/10/05 20:00,"Agent with strong negotiation skills. Agente con fuertes habilidades de negociación.",47000.00 USD,"https://example.com/photo7.jpg",airline-07
agent-08,user-account-agent-01,LA012345,"Japanese, English",2016/10/06 22:00,"Agent with expertise in Asian markets. アジア市場に精通したエージェント。",53000.00 USD,"https://example.com/photo8.jpg",airline-08
agent-09,user-account-agent-02,LA999654,"English, Portuguese",2019/10/07 09:00,"Agent with web development background. Agente com experiência em desenvolvimento web.",49000.00 USD,"https://example.com/photo9.jpg",airline-09
agent-10,user-account-agent-01,LA345678,"Russian, English",2003/10/08 11:00,"Agent specializing in Eastern European markets. Агент, специализирующийся на рынках Восточной Европы.",51000.00 USD,"https://example.com/photo10.jpg",airline-10
agent-11,user-account-agent-01,LA678901,"Chinese, English",2011/10/09 13:00,"Agent with fluency in Mandarin. 代理精通普通话。",54000.00 USD,"https://example.com/photo11.jpg",airline-11
agent-12,user-account-agent-03,LA987654,'' or 'A' = 'A ,2006/10/10 15:00,"Agent with iframe knowledge. Agent avec des connaissances en iframe.",46000.00 USD,"https://example.com/photo12.jpg",airline-12
agent-13,user-account-agent-03,LA901234,"Spanish, English",2014/10/11 17:00,,,,airline-13
agent-14,user-account-agent-04,LA234567,"German, English",2025/01/01 0:00,"Agent with strong organizational skills. Agent mit starken organisatorischen Fähigkeiten.",48000.00 USD,ftp://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,airline-14
agent-15,user-account-agent-02,LA997654,<script>alert(‘Hacked!’);</script>,2000/01/01 0:00,"Agent with web design skills. Agente con competenze di web design.",49000.00 USD,ftp://a,airline-15
