key,registrationMoment,typeOfIncident,description,severityLevel,key:flightAssignment
activity-log-01,2023/05/17 14:32,Technical Issue,A minor technical fault was detected and reported.,3,flight-assignment-03
activity-log-02,2022/09/10 08:45,Medical Emergency,A passenger required immediate medical attention.,5,flight-assignment-07
activity-log-03,2021/12/25 19:20,Unruly Passenger,A disruptive passenger caused delays in service.,4,flight-assignment-02
activity-log-04,2020/06/30 23:50,Weather Delay,Severe weather conditions led to flight delays.,2,flight-assignment-05
activity-log-05,2019/03/12 11:10,Security Threat,Security concern reported during boarding.,5,flight-assignment-09
activity-log-06,2023/07/21 16:05,Maintenance Delay,Maintenance check caused an unexpected delay.,3,flight-assignment-04
activity-log-07,2024/02/14 05:30,Crew Scheduling Issue,Crew scheduling error led to last-minute changes.,2,flight-assignment-08
activity-log-08,2022/10/09 22:15,Baggage Issue,Baggage loading issue caused departure delay.,1,flight-assignment-06
activity-log-09,2021/04/18 07:40,Communication Failure,Communication issue between ground and air crew.,4,flight-assignment-10
activity-log-10,2018/11/27 18:55,Fueling Issue,Fueling delay impacted the scheduled departure.,3,flight-assignment-01
activity-log-11,2019/07/29 09:30,Technical Issue,A minor technical fault was detected and reported.,2,flight-assignment-05
activity-log-12,2020/12/05 21:45,Medical Emergency,A passenger required immediate medical attention.,5,flight-assignment-03
activity-log-13,2023/08/14 13:15,Unruly Passenger,A disruptive passenger caused delays in service.,4,flight-assignment-07
activity-log-14,2021/02/10 10:20,Weather Delay,Severe weather conditions led to flight delays.,1,flight-assignment-02
activity-log-15,2019/05/21 17:55,Security Threat,Security concern reported during boarding.,5,flight-assignment-09
activity-log-16,2022/11/30 14:40,Maintenance Delay,Maintenance check caused an unexpected delay.,3,flight-assignment-04
activity-log-17,2024/06/22 06:10,Crew Scheduling Issue,Crew scheduling error led to last-minute changes.,2,flight-assignment-08
activity-log-18,2023/01/19 20:25,Baggage Issue,Baggage loading issue caused departure delay.,1,flight-assignment-06
activity-log-19,2020/09/30 12:45,Communication Failure,Communication issue between ground and air crew.,4,flight-assignment-10
activity-log-20,2018/06/12 23:30,Fueling Issue,Fueling delay impacted the scheduled departure.,3,flight-assignment-01
activity-log-21,2023/04/15 15:05,Technical Issue,A minor technical fault was detected and reported.,2,flight-assignment-05
activity-log-22,2021/08/17 18:40,Medical Emergency,A passenger required immediate medical attention.,5,flight-assignment-03
activity-log-23,2019/11/20 09:50,Unruly Passenger,A disruptive passenger caused delays in service.,4,flight-assignment-07
activity-log-24,2022/03/27 22:30,Weather Delay,Severe weather conditions led to flight delays.,1,flight-assignment-02
activity-log-25,2024/07/05 07:15,Security Threat,Security concern reported during boarding.,5,flight-assignment-09
activity-log-26,2020/05/13 11:55,Maintenance Delay,Maintenance check caused an unexpected delay.,3,flight-assignment-04
activity-log-27,2018/09/09 19:35,Crew Scheduling Issue,Crew scheduling error led to last-minute changes.,2,flight-assignment-08
activity-log-28,2023/12/25 04:20,Baggage Issue,Baggage loading issue caused departure delay.,1,flight-assignment-06
activity-log-29,2022/06/14 13:50,Communication Failure,Communication issue between ground and air crew.,4,flight-assignment-10
activity-log-30,2019/02/22 08:10,Fueling Issue,Fueling delay impacted the scheduled departure.,3,flight-assignment-01
activity-log-31,2020/10/30 17:45,Technical Issue,A minor technical fault was detected and reported.,2,flight-assignment-05
activity-log-32,2024/05/08 20:55,Medical Emergency,A passenger required immediate medical attention.,5,flight-assignment-03
activity-log-33,2019/07/11 10:25,Unruly Passenger,A disruptive passenger caused delays in service.,4,flight-assignment-07
activity-log-34,2021/12/14 23:10,Weather Delay,Severe weather conditions led to flight delays.,1,flight-assignment-02
activity-log-35,2022/09/25 07:20,Security Threat,Security concern reported during boarding.,5,flight-assignment-09
activity-log-36,2018/04/28 12:30,Maintenance Delay,Maintenance check caused an unexpected delay.,3,flight-assignment-04
activity-log-37,2023/10/07 15:15,Crew Scheduling Issue,Crew scheduling error led to last-minute changes.,2,flight-assignment-08
activity-log-38,2020/03/18 19:50,Baggage Issue,Baggage loading issue caused departure delay.,1,flight-assignment-06
activity-log-39,2019/06/21 09:40,Communication Failure,Communication issue between ground and air crew.,4,flight-assignment-10
activity-log-40,2021/05/30 22:25,Fueling Issue,Fueling delay impacted the scheduled departure.,3,flight-assignment-01
activity-log-41,2024/08/11 06:45,Technical Issue,A minor technical fault was detected and reported.,2,flight-assignment-05
activity-log-42,2022/02/14 14:35,Medical Emergency,A passenger required immediate medical attention.,5,flight-assignment-03
activity-log-43,2023/11/22 17:30,Unruly Passenger,A disruptive passenger caused delays in service.,4,flight-assignment-07
activity-log-44,2019/12/29 07:55,Weather Delay,Severe weather conditions led to flight delays.,1,flight-assignment-02
activity-log-45,2020/08/17 10:05,Security Threat,Security concern reported during boarding.,5,flight-assignment-09
activity-log-46,2021/07/04 21:15,Maintenance Delay,Maintenance check caused an unexpected delay.,3,flight-assignment-04
activity-log-47,2018/10/10 04:40,Crew Scheduling Issue,Crew scheduling error led to last-minute changes.,2,flight-assignment-08
activity-log-48,2024/03/28 13:25,Baggage Issue,Baggage loading issue caused departure delay.,1,flight-assignment-06
activity-log-49,2023/06/09 16:50,Communication Failure,Communication issue between ground and air crew.,4,flight-assignment-10
activity-log-50,2022/01/31 09:20,Fueling Issue,Fueling delay impacted the scheduled departure.,3,flight-assignment-01



